b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Dec 17, 1965",/boxscores/196512170LAL.html,Philadelphia 76ers,127,Los Angeles Lakers,117,Box Score,,,
"Fri, Dec 17, 1965",/boxscores/196512170SFW.html,St. Louis Hawks,103,San Francisco Warriors,102,Box Score,,,
"Sat, Dec 18, 1965",/boxscores/196512180BAL.html,Detroit Pistons,114,Baltimore Bullets,143,Box Score,,,
"Sat, Dec 18, 1965",/boxscores/196512180NYK.html,Cincinnati Royals,114,New York Knicks,122,Box Score,,,
"Sat, Dec 18, 1965",/boxscores/196512180SFW.html,Philadelphia 76ers,120,San Francisco Warriors,116,Box Score,OT,,
"Sun, Dec 19, 1965",/boxscores/196512190LAL.html,San Francisco Warriors,120,Los Angeles Lakers,132,Box Score,,,
"Mon, Dec 20, 1965",/boxscores/196512200SFW.html,Philadelphia 76ers,118,San Francisco Warriors,124,Box Score,,,
"Wed, Dec 22, 1965",/boxscores/196512220BAL.html,Cincinnati Royals,127,Baltimore Bullets,129,Box Score,OT,,
"Wed, Dec 22, 1965",/boxscores/196512220BOS.html,New York Knicks,120,Boston Celtics,123,Box Score,OT,,
"Wed, Dec 22, 1965",/boxscores/196512220DET.html,San Francisco Warriors,114,Detroit Pistons,104,Box Score,,,"at Sacramento, CA"
"Thu, Dec 23, 1965",/boxscores/196512230LAL.html,Detroit Pistons,112,Los Angeles Lakers,122,Box Score,,,
"Sat, Dec 25, 1965",/boxscores/196512250LAL.html,Detroit Pistons,106,Los Angeles Lakers,115,Box Score,,,
"Sat, Dec 25, 1965",/boxscores/196512250NYK.html,St. Louis Hawks,131,New York Knicks,111,Box Score,,,
"Sat, Dec 25, 1965",/boxscores/196512250BAL.html,Boston Celtics,113,Baltimore Bullets,99,Box Score,,,
"Sat, Dec 25, 1965",/boxscores/196512250CIN.html,San Francisco Warriors,113,Cincinnati Royals,119,Box Score,,,
"Sun, Dec 26, 1965",/boxscores/196512260BOS.html,Baltimore Bullets,99,Boston Celtics,120,Box Score,,,
"Sun, Dec 26, 1965",/boxscores/196512260PHI.html,San Francisco Warriors,107,Philadelphia 76ers,121,Box Score,,,
"Sun, Dec 26, 1965",/boxscores/196512260STL.html,Cincinnati Royals,117,St. Louis Hawks,115,Box Score,,,
"Mon, Dec 27, 1965",/boxscores/196512270CIN.html,New York Knicks,116,Cincinnati Royals,138,Box Score,,,
"Mon, Dec 27, 1965",/boxscores/196512270LAL.html,St. Louis Hawks,100,Los Angeles Lakers,108,Box Score,,,"at Memphis, TN"
"Tue, Dec 28, 1965",/boxscores/196512280PHI.html,Boston Celtics,93,Philadelphia 76ers,102,Box Score,,,
"Tue, Dec 28, 1965",/boxscores/196512280STL.html,Los Angeles Lakers,107,St. Louis Hawks,100,Box Score,,,
"Tue, Dec 28, 1965",/boxscores/196512280DET.html,San Francisco Warriors,120,Detroit Pistons,107,Box Score,,,"at Toledo, OH"
"Wed, Dec 29, 1965",/boxscores/196512290BAL.html,San Francisco Warriors,111,Baltimore Bullets,144,Box Score,,,
"Wed, Dec 29, 1965",/boxscores/196512290CIN.html,Los Angeles Lakers,109,Cincinnati Royals,111,Box Score,,,
"Wed, Dec 29, 1965",/boxscores/196512290DET.html,Philadelphia 76ers,113,Detroit Pistons,112,Box Score,,,
"Wed, Dec 29, 1965",/boxscores/196512290NYK.html,Boston Celtics,99,New York Knicks,96,Box Score,,,
"Thu, Dec 30, 1965",/boxscores/196512300BOS.html,San Francisco Warriors,113,Boston Celtics,116,Box Score,,,"at Providence, RI"
"Thu, Dec 30, 1965",/boxscores/196512300DET.html,Los Angeles Lakers,114,Detroit Pistons,117,Box Score,,,"at Fort Wayne, IN"
"Thu, Dec 30, 1965",/boxscores/196512300STL.html,Philadelphia 76ers,113,St. Louis Hawks,130,Box Score,,,
"Sat, Jan 1, 1966",/boxscores/196601010NYK.html,Cincinnati Royals,122,New York Knicks,147,Box Score,,,
"Sat, Jan 1, 1966",/boxscores/196601010BAL.html,Detroit Pistons,112,Baltimore Bullets,116,Box Score,,,
"Sat, Jan 1, 1966",/boxscores/196601010STL.html,Boston Celtics,98,St. Louis Hawks,100,Box Score,,,
