b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Tue, Nov 21, 2000",/boxscores/200011210GSW.html,10:30p,Chicago Bulls,77,Golden State Warriors,89,Box Score,,"11,263",
"Wed, Nov 22, 2000",/boxscores/200011220BOS.html,7:00p,Houston Rockets,81,Boston Celtics,96,Box Score,,"13,003",
"Wed, Nov 22, 2000",/boxscores/200011220ATL.html,7:30p,New York Knicks,74,Atlanta Hawks,78,Box Score,,"12,007",
"Wed, Nov 22, 2000",/boxscores/200011220CHH.html,7:30p,Philadelphia 76ers,73,Charlotte Hornets,88,Box Score,,"15,306",
"Wed, Nov 22, 2000",/boxscores/200011220MIA.html,7:30p,Cleveland Cavaliers,86,Miami Heat,67,Box Score,,"14,755",
"Wed, Nov 22, 2000",/boxscores/200011220MIL.html,8:00p,Portland Trail Blazers,93,Milwaukee Bucks,84,Box Score,,"15,008",
"Wed, Nov 22, 2000",/boxscores/200011220MIN.html,8:00p,Vancouver Grizzlies,100,Minnesota Timberwolves,101,Box Score,,"16,783",
"Wed, Nov 22, 2000",/boxscores/200011220SAS.html,8:30p,Seattle SuperSonics,85,San Antonio Spurs,112,Box Score,,"22,828",
"Wed, Nov 22, 2000",/boxscores/200011220PHO.html,9:00p,New Jersey Nets,85,Phoenix Suns,97,Box Score,,"17,239",
"Wed, Nov 22, 2000",/boxscores/200011220UTA.html,9:00p,Denver Nuggets,78,Utah Jazz,116,Box Score,,"18,664",
"Wed, Nov 22, 2000",/boxscores/200011220LAL.html,10:30p,Golden State Warriors,91,Los Angeles Lakers,111,Box Score,,"18,208",
"Wed, Nov 22, 2000",/boxscores/200011220SAC.html,10:30p,Chicago Bulls,71,Sacramento Kings,100,Box Score,,"17,317",
"Thu, Nov 23, 2000",/boxscores/200011230IND.html,8:00p,Toronto Raptors,111,Indiana Pacers,91,Box Score,,"18,345",
"Fri, Nov 24, 2000",/boxscores/200011240ATL.html,7:30p,Philadelphia 76ers,76,Atlanta Hawks,67,Box Score,,"17,601",
"Fri, Nov 24, 2000",/boxscores/200011240BOS.html,7:30p,Orlando Magic,98,Boston Celtics,103,Box Score,OT,"16,696",
"Fri, Nov 24, 2000",/boxscores/200011240CLE.html,7:30p,Miami Heat,80,Cleveland Cavaliers,85,Box Score,,"20,562",
"Fri, Nov 24, 2000",/boxscores/200011240DET.html,8:00p,Vancouver Grizzlies,96,Detroit Pistons,118,Box Score,,"14,709",
"Fri, Nov 24, 2000",/boxscores/200011240IND.html,8:00p,Washington Wizards,87,Indiana Pacers,99,Box Score,,"18,345",
"Fri, Nov 24, 2000",/boxscores/200011240MIL.html,8:30p,Charlotte Hornets,106,Milwaukee Bucks,90,Box Score,,"15,102",
"Fri, Nov 24, 2000",/boxscores/200011240DEN.html,9:00p,San Antonio Spurs,92,Denver Nuggets,102,Box Score,,"13,300",
"Fri, Nov 24, 2000",/boxscores/200011240PHO.html,9:00p,Golden State Warriors,74,Phoenix Suns,80,Box Score,,"18,684",
"Fri, Nov 24, 2000",/boxscores/200011240SEA.html,10:00p,Los Angeles Clippers,81,Seattle SuperSonics,98,Box Score,,"13,282",
"Fri, Nov 24, 2000",/boxscores/200011240UTA.html,10:00p,New Jersey Nets,85,Utah Jazz,97,Box Score,,"18,915",
"Fri, Nov 24, 2000",/boxscores/200011240LAL.html,10:30p,Minnesota Timberwolves,108,Los Angeles Lakers,115,Box Score,,"18,997",
"Sat, Nov 25, 2000",/boxscores/200011250NYK.html,1:00p,Toronto Raptors,79,New York Knicks,75,Box Score,,"19,763",
"Sat, Nov 25, 2000",/boxscores/200011250CHH.html,7:30p,Cleveland Cavaliers,98,Charlotte Hornets,109,Box Score,,"13,791",
"Sat, Nov 25, 2000",/boxscores/200011250MIA.html,7:30p,Houston Rockets,91,Miami Heat,80,Box Score,,"15,721",
"Sat, Nov 25, 2000",/boxscores/200011250ORL.html,7:30p,Atlanta Hawks,92,Orlando Magic,114,Box Score,,"13,043",
"Sat, Nov 25, 2000",/boxscores/200011250DAL.html,8:00p,Denver Nuggets,84,Dallas Mavericks,108,Box Score,,"16,234",
"Sat, Nov 25, 2000",/boxscores/200011250WAS.html,8:00p,Milwaukee Bucks,100,Washington Wizards,107,Box Score,,"13,157",
"Sat, Nov 25, 2000",/boxscores/200011250SAS.html,8:30p,Philadelphia 76ers,76,San Antonio Spurs,96,Box Score,,"33,046",
"Sat, Nov 25, 2000",/boxscores/200011250POR.html,10:00p,New Jersey Nets,84,Portland Trail Blazers,86,Box Score,,"20,478",
"Sat, Nov 25, 2000",/boxscores/200011250GSW.html,10:30p,Minnesota Timberwolves,93,Golden State Warriors,114,Box Score,,"14,268",
