b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Wed, Dec 1, 1982",/boxscores/198212010BOS.html,,Atlanta Hawks,97,Boston Celtics,122,Box Score,,"15,320",
"Wed, Dec 1, 1982",/boxscores/198212010CLE.html,,New York Knicks,101,Cleveland Cavaliers,84,Box Score,,"2,114",
"Wed, Dec 1, 1982",/boxscores/198212010DET.html,,San Antonio Spurs,97,Detroit Pistons,105,Box Score,,"5,284",
"Wed, Dec 1, 1982",/boxscores/198212010HOU.html,,Los Angeles Lakers,106,Houston Rockets,95,Box Score,,"8,786",
"Wed, Dec 1, 1982",/boxscores/198212010IND.html,,Milwaukee Bucks,125,Indiana Pacers,105,Box Score,,"5,850",
"Wed, Dec 1, 1982",/boxscores/198212010KCK.html,,Chicago Bulls,132,Kansas City Kings,143,Box Score,,"5,425",
"Wed, Dec 1, 1982",/boxscores/198212010SEA.html,,San Diego Clippers,110,Seattle SuperSonics,131,Box Score,,,
"Wed, Dec 1, 1982",/boxscores/198212010WSB.html,,New Jersey Nets,105,Washington Bullets,99,Box Score,,"7,291",
"Thu, Dec 2, 1982",/boxscores/198212020DAL.html,,Golden State Warriors,100,Dallas Mavericks,110,Box Score,,"7,678",
"Thu, Dec 2, 1982",/boxscores/198212020PHO.html,,Philadelphia 76ers,116,Phoenix Suns,108,Box Score,,"14,660",
"Thu, Dec 2, 1982",/boxscores/198212020UTA.html,,Portland Trail Blazers,112,Utah Jazz,119,Box Score,,"7,075",
"Fri, Dec 3, 1982",/boxscores/198212030ATL.html,,New Jersey Nets,107,Atlanta Hawks,99,Box Score,,"6,884",
"Fri, Dec 3, 1982",/boxscores/198212030DEN.html,,Chicago Bulls,124,Denver Nuggets,132,Box Score,,"10,993",
"Fri, Dec 3, 1982",/boxscores/198212030IND.html,,Cleveland Cavaliers,103,Indiana Pacers,111,Box Score,,"3,216",
"Fri, Dec 3, 1982",/boxscores/198212030KCK.html,,Golden State Warriors,123,Kansas City Kings,107,Box Score,,"5,882",
"Fri, Dec 3, 1982",/boxscores/198212030LAL.html,,Portland Trail Blazers,100,Los Angeles Lakers,115,Box Score,,"13,787",
"Fri, Dec 3, 1982",/boxscores/198212030MIL.html,,Boston Celtics,112,Milwaukee Bucks,115,Box Score,,"11,052",
"Fri, Dec 3, 1982",/boxscores/198212030SAS.html,,Houston Rockets,78,San Antonio Spurs,88,Box Score,,"7,691",
"Fri, Dec 3, 1982",/boxscores/198212030SDC.html,,Philadelphia 76ers,127,San Diego Clippers,110,Box Score,,"13,873",
"Fri, Dec 3, 1982",/boxscores/198212030WSB.html,,New York Knicks,98,Washington Bullets,105,Box Score,,"15,812",
"Sat, Dec 4, 1982",/boxscores/198212040CLE.html,,Indiana Pacers,89,Cleveland Cavaliers,109,Box Score,,"4,507",
"Sat, Dec 4, 1982",/boxscores/198212040DAL.html,,Washington Bullets,115,Dallas Mavericks,105,Box Score,,"10,842",
"Sat, Dec 4, 1982",/boxscores/198212040DET.html,,Boston Celtics,119,Detroit Pistons,112,Box Score,,"22,396",
