,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
61,Tyrone Corbin,SF,24.0,TOT,63.0,15.0,1170.0,6.3,15.4,0.409,0.0,0.2,0.25,6.3,15.2,0.411,3.7,5.0,0.734,3.6,5.1,8.7,3.9,2.2,0.2,2.7,5.2,16.3,0.0,100.0,109.0
62,Tyrone Corbin,SF,24.0,SAS,31.0,15.0,732.0,7.3,17.0,0.428,0.0,0.0,0.0,7.3,17.0,0.428,3.2,4.3,0.731,3.4,4.3,7.7,5.2,2.5,0.2,3.0,5.2,17.7,0.0,101.0,111.0
63,Tyrone Corbin,SF,24.0,CLE,32.0,0.0,438.0,4.7,12.7,0.368,0.1,0.4,0.25,4.5,12.2,0.372,4.5,6.2,0.737,3.9,6.5,10.4,1.8,1.8,0.2,2.2,5.2,14.0,0.0,100.0,106.0
64,Dave Corzine,C,30.0,CHI,82.0,39.0,2287.0,6.4,13.6,0.475,0.0,0.1,0.0,6.4,13.4,0.479,2.1,2.8,0.736,4.4,7.5,11.8,4.6,0.8,1.9,2.5,4.4,15.0,0.0,108.0,108.0
65,Pat Cummings,PF,30.0,NYK,49.0,11.0,1056.0,7.9,17.6,0.45,0.0,0.0,0.0,7.9,17.6,0.45,3.6,5.1,0.718,5.7,8.7,14.4,1.8,1.2,0.3,3.9,6.7,19.5,0.0,97.0,110.0
66,Terry Cummings,PF,25.0,MIL,82.0,77.0,2770.0,12.6,24.6,0.511,0.0,0.1,0.0,12.6,24.6,0.512,4.3,6.5,0.662,3.7,8.4,12.1,4.0,2.2,1.4,3.0,5.1,29.5,0.0,110.0,103.0
67,Earl Cureton,C,29.0,TOT,78.0,47.0,1973.0,6.0,12.6,0.476,0.0,0.0,0.0,6.0,12.5,0.478,2.0,3.7,0.539,5.2,5.9,11.1,3.0,0.8,1.4,2.0,4.6,14.0,0.0,107.0,111.0
68,Earl Cureton,C,29.0,CHI,43.0,36.0,1105.0,5.8,12.5,0.467,0.0,0.0,0.0,5.8,12.5,0.469,1.8,3.3,0.534,5.1,5.2,10.3,3.2,0.7,1.2,2.0,4.6,13.5,0.0,106.0,110.0
69,Earl Cureton,C,29.0,LAC,35.0,11.0,868.0,6.1,12.6,0.487,0.0,0.1,0.0,6.1,12.6,0.489,2.3,4.3,0.544,5.3,6.8,12.1,2.8,1.0,1.6,1.9,4.6,14.6,0.0,109.0,112.0
70,Dell Curry,SG,22.0,UTA,67.0,0.0,636.0,10.2,23.8,0.426,1.2,4.4,0.283,8.9,19.5,0.459,2.2,2.8,0.789,2.2,3.5,5.7,4.2,2.0,0.3,3.2,6.3,23.8,0.0,96.0,107.0
71,Quintin Dailey,SG,26.0,LAC,49.0,5.0,924.0,10.1,24.8,0.407,0.1,0.5,0.1,10.1,24.3,0.414,6.0,7.8,0.768,1.7,2.5,4.2,4.0,2.2,0.4,3.6,5.7,26.3,0.0,95.0,114.0
73,Adrian Dantley*,SF,30.0,DET,81.0,81.0,2736.0,10.4,19.5,0.534,0.0,0.1,0.167,10.4,19.4,0.536,9.4,11.5,0.812,1.8,4.0,5.8,2.8,1.1,0.1,3.1,3.4,30.2,0.0,121.0,109.0
