,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
73,Mikal Bridges,SF,23.0,PHO,55.0,14.0,1413.0,165.0,326.0,0.506,41.0,119.0,0.345,124.0,207.0,0.599,0.569,73.0,89.0,0.82,47.0,169.0,216.0,88.0,81.0,31.0,53.0,120.0,444.0
74,Miles Bridges,SF,21.0,CHO,54.0,53.0,1657.0,269.0,610.0,0.441,84.0,246.0,0.341,185.0,364.0,0.508,0.51,82.0,103.0,0.796,76.0,223.0,299.0,91.0,34.0,40.0,83.0,115.0,704.0
75,Oshae Brissett,SF,21.0,TOR,17.0,0.0,128.0,12.0,34.0,0.353,3.0,15.0,0.2,9.0,19.0,0.474,0.397,6.0,8.0,0.75,9.0,14.0,23.0,5.0,4.0,1.0,7.0,18.0,33.0
76,Ryan Broekhoff,SG,29.0,DAL,17.0,1.0,180.0,22.0,59.0,0.373,20.0,51.0,0.392,2.0,8.0,0.25,0.542,7.0,8.0,0.875,5.0,38.0,43.0,11.0,5.0,4.0,6.0,15.0,71.0
77,Malcolm Brogdon,PG,27.0,IND,41.0,41.0,1262.0,249.0,568.0,0.438,56.0,173.0,0.324,193.0,395.0,0.489,0.488,126.0,139.0,0.906,33.0,159.0,192.0,301.0,27.0,8.0,104.0,76.0,680.0
78,Dillon Brooks,SG,24.0,MEM,54.0,54.0,1528.0,308.0,746.0,0.413,111.0,288.0,0.385,197.0,458.0,0.43,0.487,121.0,145.0,0.834,53.0,130.0,183.0,109.0,51.0,22.0,88.0,201.0,848.0
79,Bruce Brown,SG,23.0,DET,54.0,42.0,1507.0,179.0,407.0,0.44,30.0,89.0,0.337,149.0,318.0,0.469,0.477,84.0,115.0,0.73,54.0,191.0,245.0,209.0,62.0,29.0,95.0,150.0,472.0
80,Charlie Brown,SG,22.0,ATL,10.0,0.0,40.0,6.0,19.0,0.316,3.0,9.0,0.333,3.0,10.0,0.3,0.395,5.0,5.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,20.0
81,Jaylen Brown,SF,23.0,BOS,44.0,44.0,1480.0,328.0,662.0,0.495,91.0,239.0,0.381,237.0,423.0,0.56,0.564,142.0,191.0,0.743,47.0,234.0,281.0,97.0,49.0,12.0,106.0,130.0,889.0
82,Moses Brown,C,20.0,POR,9.0,0.0,33.0,4.0,10.0,0.4,0.0,0.0,0.0,4.0,10.0,0.4,0.4,3.0,8.0,0.375,3.0,11.0,14.0,1.0,1.0,1.0,3.0,7.0,11.0
