b'Date',b'href',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Sat, Nov 19, 1977",/boxscores/197711190HOU.html,New Orleans Jazz,103,Houston Rockets,101,Box Score,,,
"Sat, Nov 19, 1977",/boxscores/197711190KCK.html,Washington Bullets,131,Kansas City Kings,125,Box Score,OT,,
"Sat, Nov 19, 1977",/boxscores/197711190NYK.html,Indiana Pacers,127,New York Knicks,129,Box Score,OT,,
"Sat, Nov 19, 1977",/boxscores/197711190PHI.html,Milwaukee Bucks,100,Philadelphia 76ers,111,Box Score,,,
"Sat, Nov 19, 1977",/boxscores/197711190POR.html,Cleveland Cavaliers,67,Portland Trail Blazers,109,Box Score,,,
"Sun, Nov 20, 1977",/boxscores/197711200LAL.html,Chicago Bulls,102,Los Angeles Lakers,80,Box Score,,,
"Sun, Nov 20, 1977",/boxscores/197711200NJN.html,Denver Nuggets,125,New Jersey Nets,118,Box Score,,,
"Sun, Nov 20, 1977",/boxscores/197711200PHO.html,San Antonio Spurs,112,Phoenix Suns,134,Box Score,,,
"Sun, Nov 20, 1977",/boxscores/197711200POR.html,Detroit Pistons,101,Portland Trail Blazers,118,Box Score,,,
"Sun, Nov 20, 1977",/boxscores/197711200SEA.html,Cleveland Cavaliers,115,Seattle SuperSonics,108,Box Score,,,
"Mon, Nov 21, 1977",/boxscores/197711210BUF.html,Washington Bullets,114,Buffalo Braves,97,Box Score,,,
"Tue, Nov 22, 1977",/boxscores/197711220MIL.html,Golden State Warriors,88,Milwaukee Bucks,109,Box Score,,,
"Tue, Nov 22, 1977",/boxscores/197711220NOJ.html,Indiana Pacers,108,New Orleans Jazz,123,Box Score,,,
"Tue, Nov 22, 1977",/boxscores/197711220NYK.html,Buffalo Braves,102,New York Knicks,101,Box Score,,,
"Tue, Nov 22, 1977",/boxscores/197711220PHI.html,Houston Rockets,99,Philadelphia 76ers,105,Box Score,,,
"Tue, Nov 22, 1977",/boxscores/197711220PHO.html,Los Angeles Lakers,107,Phoenix Suns,118,Box Score,,,
"Tue, Nov 22, 1977",/boxscores/197711220WSB.html,Denver Nuggets,119,Washington Bullets,114,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230ATL.html,Denver Nuggets,104,Atlanta Hawks,105,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230BOS.html,Houston Rockets,100,Boston Celtics,109,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230DET.html,Philadelphia 76ers,106,Detroit Pistons,105,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230IND.html,Golden State Warriors,116,Indiana Pacers,126,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230KCK.html,Milwaukee Bucks,122,Kansas City Kings,116,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230POR.html,Chicago Bulls,111,Portland Trail Blazers,116,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230SAS.html,New Jersey Nets,119,San Antonio Spurs,132,Box Score,,,
"Wed, Nov 23, 1977",/boxscores/197711230SEA.html,Los Angeles Lakers,89,Seattle SuperSonics,113,Box Score,,,
"Thu, Nov 24, 1977",/boxscores/197711240CLE.html,Phoenix Suns,82,Cleveland Cavaliers,97,Box Score,,,
"Thu, Nov 24, 1977",/boxscores/197711240NOJ.html,Denver Nuggets,129,New Orleans Jazz,131,Box Score,,,
"Fri, Nov 25, 1977",/boxscores/197711250ATL.html,Milwaukee Bucks,117,Atlanta Hawks,115,Box Score,,,
"Fri, Nov 25, 1977",/boxscores/197711250BOS.html,New York Knicks,119,Boston Celtics,121,Box Score,OT,,
"Fri, Nov 25, 1977",/boxscores/197711250IND.html,Phoenix Suns,118,Indiana Pacers,110,Box Score,,,
"Fri, Nov 25, 1977",/boxscores/197711250LAL.html,New Jersey Nets,117,Los Angeles Lakers,129,Box Score,,,
"Fri, Nov 25, 1977",/boxscores/197711250PHI.html,Golden State Warriors,119,Philadelphia 76ers,125,Box Score,OT,,
"Fri, Nov 25, 1977",/boxscores/197711250SEA.html,Chicago Bulls,106,Seattle SuperSonics,89,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260BUF.html,Philadelphia 76ers,112,Buffalo Braves,107,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260DEN.html,Indiana Pacers,123,Denver Nuggets,136,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260DET.html,Cleveland Cavaliers,105,Detroit Pistons,87,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260KCK.html,Boston Celtics,108,Kansas City Kings,110,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260NYK.html,Golden State Warriors,106,New York Knicks,112,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260POR.html,New Jersey Nets,102,Portland Trail Blazers,114,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260SAS.html,Milwaukee Bucks,107,San Antonio Spurs,129,Box Score,,,
"Sat, Nov 26, 1977",/boxscores/197711260WSB.html,Houston Rockets,91,Washington Bullets,93,Box Score,,,
"Sun, Nov 27, 1977",/boxscores/197711270LAL.html,Portland Trail Blazers,100,Los Angeles Lakers,93,Box Score,,,
"Sun, Nov 27, 1977",/boxscores/197711270NOJ.html,Kansas City Kings,106,New Orleans Jazz,115,Box Score,,,
"Sun, Nov 27, 1977",/boxscores/197711270PHO.html,Denver Nuggets,97,Phoenix Suns,115,Box Score,,,
"Sun, Nov 27, 1977",/boxscores/197711270SEA.html,New Jersey Nets,99,Seattle SuperSonics,96,Box Score,,,
"Mon, Nov 28, 1977",/boxscores/197711280NYK.html,Houston Rockets,86,New York Knicks,104,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290ATL.html,Boston Celtics,101,Atlanta Hawks,108,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290CHI.html,New Orleans Jazz,87,Chicago Bulls,95,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290CLE.html,Los Angeles Lakers,101,Cleveland Cavaliers,118,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290DEN.html,Seattle SuperSonics,99,Denver Nuggets,115,Box Score,,,
"Tue, Nov 29, 1977",/boxscores/197711290GSW.html,New Jersey Nets,101,Golden State Warriors,110,Box Score,,,
