b'Date',b'href',b'Start (ET)',b'Visitor/Neutral',b'PTS',b'Home/Neutral',b'PTS',b'\xc2\xa0',b'\xc2\xa0',b'Attend.',b'Notes'
"Fri, Nov 22, 2013",/boxscores/201311220BOS.html,7:30p,Indiana Pacers,97,Boston Celtics,82,Box Score,,"18,624",
"Fri, Nov 22, 2013",/boxscores/201311220DET.html,7:30p,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,"13,467",
"Fri, Nov 22, 2013",/boxscores/201311220MEM.html,8:00p,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,"17,109",
"Fri, Nov 22, 2013",/boxscores/201311220MIN.html,8:00p,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,"15,551",
"Fri, Nov 22, 2013",/boxscores/201311220NOP.html,8:00p,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,"15,186",
"Fri, Nov 22, 2013",/boxscores/201311220DAL.html,8:30p,Utah Jazz,93,Dallas Mavericks,103,Box Score,,"19,781",
"Fri, Nov 22, 2013",/boxscores/201311220POR.html,10:00p,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,"20,618",
"Fri, Nov 22, 2013",/boxscores/201311220LAL.html,10:30p,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,"18,997",
"Sat, Nov 23, 2013",/boxscores/201311230LAC.html,3:30p,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,"19,060",
"Sat, Nov 23, 2013",/boxscores/201311230IND.html,7:00p,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,"18,165",
"Sat, Nov 23, 2013",/boxscores/201311230WAS.html,7:00p,New York Knicks,89,Washington Wizards,98,Box Score,,"18,089",
"Sat, Nov 23, 2013",/boxscores/201311230ATL.html,7:30p,Boston Celtics,94,Atlanta Hawks,87,Box Score,,"15,189",
"Sat, Nov 23, 2013",/boxscores/201311230MIA.html,7:30p,Orlando Magic,99,Miami Heat,101,Box Score,,"19,647",
"Sat, Nov 23, 2013",/boxscores/201311230HOU.html,8:00p,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,"18,196",
