,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
593,Derrick Williams,PF,25.0,CLE,25.0,0.0,427.0,6.3,12.5,0.505,2.5,6.1,0.404,3.9,6.4,0.6,3.2,4.6,0.692,0.4,6.3,6.7,1.6,0.6,0.2,1.6,3.2,18.2,0.0,117.0,113.0
594,Lou Williams,SG,30.0,TOT,81.0,1.0,1994.0,10.4,24.3,0.429,4.0,10.8,0.365,6.4,13.4,0.48,9.8,11.1,0.88,0.6,4.3,4.9,5.8,1.9,0.5,3.9,2.2,34.6,0.0,115.0,113.0
595,Lou Williams,SG,30.0,LAL,58.0,1.0,1403.0,11.3,25.5,0.444,4.2,11.0,0.385,7.1,14.5,0.489,10.6,11.9,0.884,0.5,4.1,4.6,6.4,2.3,0.4,4.2,2.3,37.4,0.0,118.0,114.0
596,Lou Williams,SG,30.0,HOU,23.0,0.0,591.0,8.3,21.4,0.386,3.3,10.5,0.318,5.0,11.0,0.452,8.0,9.2,0.867,1.0,4.7,5.7,4.5,1.2,0.7,3.2,2.0,27.9,0.0,109.0,112.0
597,Marvin Williams,PF,30.0,CHO,76.0,76.0,2295.0,6.5,15.4,0.422,2.7,7.7,0.35,3.8,7.7,0.494,2.9,3.3,0.873,1.9,9.0,10.9,2.3,1.3,1.2,1.3,2.9,18.6,0.0,111.0,108.0
598,Reggie Williams,SF,30.0,NOP,6.0,0.0,79.0,5.0,14.3,0.348,3.1,6.8,0.455,1.9,7.4,0.25,3.7,4.3,0.857,1.2,2.5,3.7,2.5,1.9,0.0,0.0,1.2,16.7,0.0,115.0,111.0
599,Troy Williams,SF,22.0,TOT,30.0,16.0,557.0,6.7,15.3,0.437,1.6,5.7,0.29,5.0,9.6,0.524,1.9,2.9,0.656,1.4,4.9,6.3,2.3,2.5,0.9,2.9,5.5,16.9,0.0,95.0,107.0
600,Troy Williams,SF,22.0,MEM,24.0,13.0,418.0,6.3,15.3,0.415,1.2,5.1,0.244,5.1,10.2,0.5,1.9,3.1,0.6,0.7,4.9,5.6,2.4,3.0,1.1,3.2,5.2,15.8,0.0,87.0,105.0
601,Troy Williams,SF,22.0,HOU,6.0,3.0,139.0,7.6,15.2,0.5,2.8,7.3,0.381,4.8,7.9,0.609,2.1,2.4,0.857,3.1,5.2,8.3,2.1,1.0,0.3,2.1,6.2,20.0,0.0,119.0,112.0
602,Kyle Wiltjer,PF,24.0,HOU,14.0,0.0,44.0,4.4,15.3,0.286,4.4,14.2,0.308,0.0,1.1,0.0,1.1,2.2,0.5,4.4,6.5,10.9,2.2,3.3,1.1,5.5,4.4,14.2,0.0,81.0,105.0
603,Justise Winslow,SF,20.0,MIA,18.0,15.0,625.0,6.5,18.1,0.356,0.6,2.8,0.2,5.9,15.3,0.384,2.3,3.8,0.617,1.9,5.7,7.6,5.3,2.1,0.5,2.7,4.2,15.8,0.0,88.0,107.0
604,Jeff Withey,C,26.0,UTA,51.0,1.0,432.0,6.7,12.5,0.534,0.0,0.1,0.0,6.7,12.4,0.539,4.4,5.8,0.75,6.3,8.4,14.7,0.8,1.9,3.9,1.7,6.3,17.7,0.0,124.0,100.0
605,Christian Wood,PF,21.0,CHO,13.0,0.0,107.0,5.6,10.8,0.522,0.0,2.3,0.0,5.6,8.4,0.667,5.2,7.0,0.733,6.6,7.0,13.6,0.9,1.4,2.8,3.3,5.2,16.4,0.0,113.0,106.0
