,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
40,Larry Hennessy,G,27.0,PHW,2.0,0.0,0.0,2.0,7.0,0.286,0.0,0.0,0.0,2.0,7.0,0.286,0.286,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
41,Larry Hennessy,SG,27.0,SYR,19.0,0.0,0.0,54.0,168.0,0.321,0.0,0.0,0.0,54.0,168.0,0.321,0.321,23.0,32.0,0.719,0.0,0.0,44.0,24.0,0.0,0.0,0.0,28.0,131.0
42,Lew Hitch,PF,27.0,TOT,68.0,0.0,1133.0,111.0,296.0,0.375,0.0,0.0,0.0,111.0,296.0,0.375,0.375,63.0,88.0,0.716,0.0,0.0,253.0,40.0,0.0,0.0,0.0,103.0,285.0
43,Lew Hitch,PF,27.0,ROC,30.0,0.0,556.0,54.0,145.0,0.372,0.0,0.0,0.0,54.0,145.0,0.372,0.372,37.0,51.0,0.725,0.0,0.0,119.0,15.0,0.0,0.0,0.0,55.0,145.0
44,Lew Hitch,PF,27.0,PHW,38.0,0.0,577.0,57.0,151.0,0.377,0.0,0.0,0.0,57.0,151.0,0.377,0.377,26.0,37.0,0.703,0.0,0.0,134.0,25.0,0.0,0.0,0.0,48.0,140.0
45,Joe Holup,SF,22.0,SYR,71.0,0.0,1284.0,160.0,487.0,0.329,0.0,0.0,0.0,160.0,487.0,0.329,0.329,204.0,253.0,0.806,0.0,0.0,279.0,84.0,0.0,0.0,0.0,177.0,524.0
46,Bob Hopkins,C,22.0,SYR,62.0,0.0,764.0,130.0,343.0,0.379,0.0,0.0,0.0,130.0,343.0,0.379,0.379,94.0,126.0,0.746,0.0,0.0,233.0,22.0,0.0,0.0,0.0,106.0,354.0
47,Bob Houbregs*,C,24.0,FTW,60.0,0.0,1592.0,253.0,585.0,0.432,0.0,0.0,0.0,253.0,585.0,0.432,0.432,167.0,234.0,0.714,0.0,0.0,401.0,113.0,0.0,0.0,0.0,118.0,673.0
48,Mel Hutchins,PF,28.0,FTW,72.0,0.0,2647.0,369.0,953.0,0.387,0.0,0.0,0.0,369.0,953.0,0.387,0.387,152.0,206.0,0.738,0.0,0.0,571.0,210.0,0.0,0.0,0.0,182.0,890.0
50,Neil Johnston*,C,27.0,PHW,69.0,0.0,2531.0,520.0,1163.0,0.447,0.0,0.0,0.0,520.0,1163.0,0.447,0.447,535.0,648.0,0.826,0.0,0.0,855.0,203.0,0.0,0.0,0.0,231.0,1575.0
51,Phil Jordon,C-F,23.0,NYK,9.0,0.0,91.0,18.0,49.0,0.367,0.0,0.0,0.0,18.0,49.0,0.367,0.367,8.0,12.0,0.667,0.0,0.0,34.0,2.0,0.0,0.0,0.0,15.0,44.0
52,Ed Kalafat,SF,24.0,MNL,65.0,0.0,1617.0,178.0,507.0,0.351,0.0,0.0,0.0,178.0,507.0,0.351,0.351,197.0,298.0,0.661,0.0,0.0,425.0,105.0,0.0,0.0,0.0,243.0,553.0
53,Billy Kenville,SG,26.0,FTW,71.0,0.0,1701.0,204.0,608.0,0.336,0.0,0.0,0.0,204.0,608.0,0.336,0.336,174.0,218.0,0.798,0.0,0.0,324.0,172.0,0.0,0.0,0.0,169.0,582.0
54,Red Kerr,C,24.0,SYR,72.0,0.0,2191.0,333.0,827.0,0.403,0.0,0.0,0.0,333.0,827.0,0.403,0.403,225.0,313.0,0.719,0.0,0.0,807.0,90.0,0.0,0.0,0.0,190.0,891.0
55,Hal Lear,G,22.0,PHW,3.0,0.0,14.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0
56,Slick Leonard*,PG,24.0,MNL,72.0,0.0,1943.0,303.0,867.0,0.349,0.0,0.0,0.0,303.0,867.0,0.349,0.349,186.0,241.0,0.772,0.0,0.0,220.0,169.0,0.0,0.0,0.0,140.0,792.0
57,Earl Lloyd*,SF,28.0,SYR,72.0,0.0,1965.0,256.0,687.0,0.373,0.0,0.0,0.0,256.0,687.0,0.373,0.373,134.0,179.0,0.749,0.0,0.0,435.0,114.0,0.0,0.0,0.0,282.0,646.0
58,Jim Loscutoff,SF,26.0,BOS,70.0,0.0,2220.0,306.0,888.0,0.345,0.0,0.0,0.0,306.0,888.0,0.345,0.345,132.0,187.0,0.706,0.0,0.0,730.0,89.0,0.0,0.0,0.0,244.0,744.0
59,Clyde Lovellette*,C,27.0,MNL,69.0,0.0,2492.0,574.0,1348.0,0.426,0.0,0.0,0.0,574.0,1348.0,0.426,0.426,286.0,399.0,0.717,0.0,0.0,932.0,139.0,0.0,0.0,0.0,251.0,1434.0
60,Ed Macauley*,PF,28.0,STL,72.0,0.0,2582.0,414.0,987.0,0.419,0.0,0.0,0.0,414.0,987.0,0.419,0.419,359.0,479.0,0.749,0.0,0.0,440.0,202.0,0.0,0.0,0.0,206.0,1187.0
61,Tom Marshall,SF,26.0,ROC,40.0,0.0,460.0,56.0,163.0,0.344,0.0,0.0,0.0,56.0,163.0,0.344,0.344,47.0,58.0,0.81,0.0,0.0,83.0,31.0,0.0,0.0,0.0,33.0,159.0
62,Slater Martin*,PG,31.0,TOT,66.0,0.0,2401.0,244.0,736.0,0.332,0.0,0.0,0.0,244.0,736.0,0.332,0.332,230.0,291.0,0.79,0.0,0.0,288.0,269.0,0.0,0.0,0.0,193.0,718.0
63,Slater Martin*,PG,31.0,NYK,13.0,0.0,426.0,33.0,96.0,0.344,0.0,0.0,0.0,33.0,96.0,0.344,0.344,44.0,53.0,0.83,0.0,0.0,42.0,39.0,0.0,0.0,0.0,28.0,110.0
64,Slater Martin*,PG,31.0,STL,53.0,0.0,1975.0,211.0,640.0,0.33,0.0,0.0,0.0,211.0,640.0,0.33,0.33,186.0,238.0,0.782,0.0,0.0,246.0,230.0,0.0,0.0,0.0,165.0,608.0
65,Johnny McCarthy,PG,22.0,ROC,72.0,0.0,1560.0,173.0,460.0,0.376,0.0,0.0,0.0,173.0,460.0,0.376,0.376,130.0,193.0,0.674,0.0,0.0,201.0,107.0,0.0,0.0,0.0,130.0,476.0
66,Dick McGuire*,PG,31.0,NYK,72.0,0.0,1191.0,140.0,366.0,0.383,0.0,0.0,0.0,140.0,366.0,0.383,0.383,105.0,163.0,0.644,0.0,0.0,146.0,222.0,0.0,0.0,0.0,103.0,385.0
